Province_Name,Commodity_Name,Bulan,Harga_Bulan_Ini,Harga_Bulan_Lalu,Pertumbuhan_MoM_%,Status_Volatilitas,MA_3_Bulan
DKI Jakarta,Bawang Merah,2022-01,31973.21,,,Data Awal (Baseline),31973.21
DKI Jakarta,Bawang Merah,2022-02,40298.0,31973.21,26.04,Lonjakan Ekstrem (Inflasi Tinggi),36135.6
DKI Jakarta,Bawang Merah,2022-03,38867.86,40298.0,-3.55,Fluktuasi Normal,37046.36
DKI Jakarta,Bawang Merah,2022-04,39465.22,38867.86,1.54,Fluktuasi Normal,39543.69
DKI Jakarta,Bawang Merah,2022-05,48877.5,39465.22,23.85,Lonjakan Ekstrem (Inflasi Tinggi),42403.53
DKI Jakarta,Bawang Merah,2022-06,59430.77,48877.5,21.59,Lonjakan Ekstrem (Inflasi Tinggi),49257.83
DKI Jakarta,Bawang Merah,2022-07,69005.56,59430.77,16.11,Lonjakan Ekstrem (Inflasi Tinggi),59104.61
DKI Jakarta,Bawang Merah,2022-08,41976.79,69005.56,-39.17,Penurunan Signifikan (Deflasi),56804.37
DKI Jakarta,Bawang Merah,2022-09,39667.31,41976.79,-5.5,Fluktuasi Normal,50216.55
DKI Jakarta,Bawang Merah,2022-10,38817.24,39667.31,-2.14,Fluktuasi Normal,40153.78
DKI Jakarta,Bawang Merah,2022-11,38266.67,38817.24,-1.42,Fluktuasi Normal,38917.07
DKI Jakarta,Bawang Merah,2022-12,36841.38,38266.67,-3.72,Fluktuasi Normal,37975.1
DKI Jakarta,Bawang Merah,2023-01,45720.97,36841.38,24.1,Lonjakan Ekstrem (Inflasi Tinggi),40276.34
DKI Jakarta,Bawang Merah,2023-02,46550.0,45720.97,1.81,Fluktuasi Normal,43037.45
DKI Jakarta,Bawang Merah,2023-03,42023.21,46550.0,-9.72,Fluktuasi Normal,44764.73
DKI Jakarta,Bawang Merah,2023-04,44879.63,42023.21,6.8,Fluktuasi Normal,44484.28
DKI Jakarta,Bawang Merah,2023-05,53775.0,44879.63,19.82,Lonjakan Ekstrem (Inflasi Tinggi),46892.61
DKI Jakarta,Bawang Merah,2023-06,48364.0,53775.0,-10.06,Penurunan Signifikan (Deflasi),49006.21
DKI Jakarta,Bawang Merah,2023-07,39903.57,48364.0,-17.49,Penurunan Signifikan (Deflasi),47347.52
DKI Jakarta,Bawang Merah,2023-08,35125.93,39903.57,-11.97,Penurunan Signifikan (Deflasi),41131.17
DKI Jakarta,Bawang Merah,2023-09,34363.46,35125.93,-2.17,Fluktuasi Normal,36464.32
DKI Jakarta,Bawang Merah,2023-10,32154.84,34363.46,-6.43,Fluktuasi Normal,33881.41
DKI Jakarta,Bawang Merah,2023-11,36571.15,32154.84,13.73,Lonjakan Ekstrem (Inflasi Tinggi),34363.15
DKI Jakarta,Bawang Merah,2023-12,40175.86,36571.15,9.86,Fluktuasi Normal,36300.62
DKI Jakarta,Bawang Merah,2024-01,40333.33,40175.86,0.39,Fluktuasi Normal,39026.78
DKI Jakarta,Bawang Merah,2024-02,39330.0,40333.33,-2.49,Fluktuasi Normal,39946.4
DKI Jakarta,Bawang Merah,2024-03,39037.1,39330.0,-0.74,Fluktuasi Normal,39566.81
